algoritmo,tempo_execucao,escore_total,pref_3,pref_2,pref_1,pref_0,violacoes_capacidade_total_excesso,professores_com_violacao,conflitos_totais,repeticao,seed,n_reshuffled,n_resampled,slack_increment_total
PLI,3.779476399999112,114,36,2,2,7,6,5,3,1,5001,65,65,15
AG,17.874383900001703,116,36,3,2,6,7,6,5,1,5001,65,65,15
ACO,399.7519796999986,124,39,3,1,4,7,6,4,1,5001,65,65,15
