algoritmo,tempo_execucao,escore_total,pref_3,pref_2,pref_1,pref_0,violacoes_capacidade_total_excesso,professores_com_violacao,conflitos_totais,repeticao,seed,n_reshuffled,n_resampled,slack_increment_total
PLI,3.9048733999952674,114.0,36.0,2.0,2.0,7.0,5.0,4.0,4.0,1,5000,65,65,15
AG,24.87603370000579,117.0,36.0,4.0,1.0,6.0,7.0,6.0,4.0,1,5000,65,65,15
ACO,369.19960519999586,111.0,36.0,1.0,1.0,9.0,5.0,3.0,6.0,1,5000,65,65,15
,,,,,,,,,,1,5000,65,65,15
