algoritmo,tempo_execucao,escore_total,pref_3,pref_2,pref_1,pref_0,violacoes_capacidade_total_excesso,professores_com_violacao,conflitos_totais,repeticao,seed,n_reshuffled,n_resampled,slack_increment_total
PLI,3.696407499999623,114,36,2,2,7,5,4,4,1,5000,65,65,15
AG,23.656660000000556,117,36,4,1,6,7,6,4,1,5000,65,65,15
ACO,377.04765749999933,111,36,1,1,9,5,3,6,1,5000,65,65,15
