execucao,n_populacao,geracao_melhor_global,taxa_crossover,taxa_mutacao,tamanho_torneio,n_elitismo,melhor_fitness_final,tempo_total_seg
57,186,47,0.30545667726935655,0.4825441837629853,6,42,136,59.62541747093201
58,403,23,0.4396716392004827,0.4520879528718014,7,112,136,99.70571899414062
59,206,8,0.28632025422356594,0.27025052710327313,9,44,136,28.091675996780396
60,150,14,0.9534695287960894,0.09732658039908802,7,33,136,8.156880617141724
61,69,12,0.6591029852772458,0.16154643988017456,6,20,136,4.8047194480896
62,318,14,0.33743273669266427,0.44786812242920965,8,71,136,66.66330170631409
63,11,35,0.08388740420936742,0.47255810019823713,6,1,131,2.7497849464416504
64,116,70,0.3174702394684871,0.4010475221818135,3,5,135,26.825325965881348
65,229,10,0.05679393047799948,0.2422387959833177,6,9,136,29.279366493225098
66,275,19,0.35463738781368614,0.09489092574644753,3,19,136,15.492801189422607
67,56,13,0.9919839693791619,0.037684006237271674,9,1,136,1.8036577701568604
68,285,9,0.8660326950118005,0.16758094790576192,9,9,136,29.870359897613525
69,280,20,0.5669407983606061,0.09066371941304967,3,103,136,14.044981241226196
70,200,53,0.7203598195812178,0.4258220554872027,2,42,136,38.84469485282898
71,243,21,0.6321913913060481,0.3647834979617585,4,11,136,82.97305369377136
72,194,51,0.5482405107332895,0.4040025176116265,2,90,135,40.290236711502075
73,451,12,0.5792017760766592,0.02627632144699963,8,42,136,16.402692556381226
74,214,20,0.29483785722572103,0.30776256195563806,6,45,136,51.25266122817993
75,487,13,0.9981964337272654,0.03545269327409316,9,95,136,21.379045486450195
76,339,10,0.767092483577495,0.12854031987600414,9,153,136,27.238632202148438
77,305,28,0.6870924000877436,0.15073232835363537,2,125,136,29.959579706192017
78,271,42,0.928548265093309,0.4301626844666539,5,40,136,82.81465482711792
79,252,21,0.965853855477766,0.2880391400001026,7,78,136,26.51767659187317
80,413,53,0.02116400325869119,0.49234880324885305,6,26,136,96.29365587234497
81,159,19,0.4072103873632296,0.4407290198818949,8,4,135,30.207380771636963
82,173,30,0.6781072770809063,0.4338770114011302,7,2,135,31.61763858795166
83,99,21,0.5089991665629413,0.11969853091005289,4,12,136,4.775821685791016
84,345,17,0.9790465208322225,0.2040774401976926,8,165,136,22.93055272102356
85,354,15,0.18642558193003536,0.356648567219571,6,4,136,66.4756989479065
86,95,47,0.8850763145291508,0.39050197052358976,4,28,136,11.245085716247559
87,470,11,0.10151927733930413,0.1876729307200712,9,195,136,27.703908681869507
88,326,11,0.872500508804629,0.2349848966993567,7,118,136,44.90797829627991
89,431,39,0.845631913383726,0.1775512630268828,3,172,136,45.721601486206055
90,187,17,0.22679863476734213,0.017961521313409768,9,82,136,5.110501766204834
91,133,23,0.6007723619242212,0.16430140571633126,5,49,136,18.01019287109375
92,182,96,0.9001331521363054,0.3518047978584717,2,25,136,57.07520651817322
93,347,17,0.39903246496889966,0.20017991848813968,6,62,136,51.853113412857056
94,373,26,0.7290051122983646,0.19686468530101492,3,178,136,33.96249055862427
95,466,28,0.25017220847011584,0.01293594157934085,2,189,136,8.183558225631714
96,191,19,0.197147311908791,0.32796337484321125,3,0,134,52.103394508361816
97,358,33,0.5318824764886869,0.30470564583863663,4,127,136,35.26524782180786
98,54,46,0.4701724488327322,0.22258135710598595,2,20,136,3.413536310195923
99,239,73,0.4956803434519919,0.47782522314492987,4,102,136,31.697309494018555
100,24,96,0.7437905453654674,0.45457995839686316,8,11,135,2.3665411472320557
101,141,19,0.3607573140885086,0.006929809342349362,8,12,136,1.3143577575683594
102,330,23,0.9445703287217052,0.10054205879218311,3,53,136,13.09885835647583
103,303,22,0.13438671192640358,0.29648144027697704,3,137,136,21.08241891860962
104,225,43,0.3845740442013201,0.4575243581109164,8,34,136,36.54686403274536
105,340,70,0.19085158951205636,0.4661546236697978,3,169,136,52.40100336074829
106,41,92,0.46027713879399346,0.46001511842472115,9,1,135,9.317643642425537
107,46,23,0.26196395756343993,0.21870719434945451,8,11,136,3.842531442642212
108,126,33,0.589832744646885,0.11612082898580567,2,42,136,5.886927604675293
109,333,17,0.44296020381314366,0.05720310089706095,7,161,136,7.935469388961792
110,377,48,0.6173828485610539,0.48639983572117934,8,52,136,65.54354977607727
111,328,38,0.018995513507911732,0.4293969111592304,8,137,136,37.906534910202026
112,205,20,0.9247196044645699,0.21503267485866137,7,41,136,15.927864074707031
113,22,44,0.4317088836396286,0.2971880387174582,7,2,136,2.433628559112549
114,439,16,0.21491397987306982,0.32647297172759515,4,40,136,108.65663003921509
115,110,34,0.8010368075114187,0.4450580916380424,9,34,136,20.29693913459778
116,93,30,0.047269651707524334,0.3147095868648767,8,39,136,7.526163578033447
117,129,35,0.1631239263933028,0.0729834009470131,2,57,136,3.4288034439086914
118,168,94,0.8588166227837536,0.42220381454796796,5,56,136,19.49805736541748
119,216,32,0.8170119511449542,0.1856415497585974,2,105,136,9.04494023323059
120,234,56,0.16864644356200736,0.41788743408976914,9,89,136,25.60233998298645
121,459,17,0.10825711624543995,0.2903222404267865,4,27,136,57.93833899497986
122,363,28,0.5142213237449205,0.35961965309605454,8,69,136,42.6817672252655
123,60,42,0.4756393172701176,0.4134339496109814,5,10,135,8.191346883773804
124,448,56,0.7150001097470983,0.37217835712895647,3,74,136,58.90103101730347
125,360,16,0.37006866838788727,0.03004819943501691,5,116,136,5.8337438106536865
126,371,12,0.6347087856629335,0.06638393575896055,6,39,136,12.264219284057617
127,26,37,0.6945161127292171,0.12321009757599609,2,6,136,1.550597906112671
128,261,25,0.8754979624755502,0.04095580601229434,2,90,136,5.803744554519653
129,461,17,0.12132752271928912,0.3865034543005891,4,121,136,55.358638048172
130,209,13,0.2266366658337356,0.054951235526278834,6,31,136,5.577770233154297
131,407,23,0.28736243412410867,0.3310946239704805,2,158,136,39.94372272491455
132,221,14,0.32764436885903964,0.139003521162937,7,15,136,15.664077758789062
133,384,8,0.9674229495855209,0.13604135439353504,9,30,136,26.694361686706543
134,429,89,0.5946171226268249,4.188766444117216e-06,2,116,130,3.0062003135681152
135,313,17,0.03616752046917977,0.19000806654245694,4,144,136,17.346758127212524
136,165,18,0.11389800826476297,0.21167694467956552,5,17,136,16.258503198623657
137,107,36,0.7786534730820748,0.3399411040633336,6,31,136,13.355844736099243
138,322,19,0.21053078818996482,0.17346930242385142,3,35,136,30.533390760421753
139,149,19,0.2673533546748467,0.14921634294373112,4,27,136,25.318485498428345
140,468,30,0.12838454700388016,0.3413641840194541,6,175,136,123.42995095252991
141,388,22,0.6711833843522089,0.14614852811972193,3,77,136,54.00505995750427
142,17,41,0.3747201704990575,0.07738725296874761,4,4,136,1.4092652797698975
143,65,31,0.8221693501534731,0.23061787185627372,5,18,136,12.72702145576477
144,172,14,0.3495855284417495,0.24966035280895152,8,61,136,31.221271753311157
145,475,16,0.7371135167142149,0.3632138574952728,9,55,136,170.16798782348633
146,401,17,0.6250262225899671,0.029781565220272057,6,128,136,15.098556280136108
147,31,62,0.24632693011616744,0.39629466543916925,4,13,135,8.142562866210938
148,50,46,0.3119531963898346,0.36899309477072123,5,17,136,13.409889459609985
149,179,57,0.419252864193342,0.39712411812086373,4,80,136,44.328437089920044
150,250,14,0.7644460389265958,0.07522890993284516,8,1,136,24.16793417930603
