ch_disciplina,id_disciplina,id_docente,preferencia
90,EST0036_01,docente_01,3
90,EST0019_01,docente_02,3
60,EST0088_01,docente_02,2
60,EST0023_10,docente_05,3
60,EST0069_01,docente_05,3
90,EST0019_05,docente_06,3
60,EST0092_01,docente_06,3
30,EST0001_01,docente_07,3
60,EST0005_01,docente_07,3
90,EST0038_01,docente_07,3
60,EST0091_01,docente_08,2
60,EST0124_01,docente_08,2
60,EST0017_01,docente_09,3
60,EST0023_04,docente_09,3
90,EST0019_06,docente_10,3
60,EST0023_07,docente_10,3
60,EST0048_01,docente_11,3
60,EST0069_03,docente_11,3
90,EST0035_01,docente_12,3
60,EST0086_01,docente_12,3
90,EST0019_04,docente_13,3
90,EST0019_10,docente_13,3
60,EST0004_01,docente_14,3
30,EST0001_02,docente_15,3
60,EST0023_06,docente_15,3
90,EST0019_08,docente_16,3
60,EST0023_08,docente_16,3
60,EST0023_09,docente_17,3
60,EST0023_03,docente_18,3
60,EST0027_02,docente_19,3
90,EST0042_01,docente_19,3
60,EST0081_01,docente_20,3
60,EST0023_02,docente_21,3
90,EST0019_03,docente_22,3
90,EST0019_07,docente_22,3
60,EST0033_01,docente_23,3
60,EST0064_01,docente_23,3
60,EST0070_01,docente_23,3
90,EST0019_02,docente_24,3
60,EST0027_01,docente_24,3
60,EST0023_01,docente_25,3
60,EST0023_11,docente_25,3
60,EST0046_01,docente_25,1
30,EST0023_05,docente_26,3
60,EST0051_01,docente_26,3
60,EST0011_01,docente_28,3
90,EST0019_09,docente_28,3
