id_execucao,timestamp,algoritmo,valor_objetivo,soma_preferencias,penalidade_total,num_alocacoes_preferencia_zero,tempo_execucao,seed,config_json,metricas_iteracao_json,alocacao_csv
1763409694810,1763409694,PLI,136.0,136,0.0,0,4.619915962219238,,"{""algoritmo"": ""PLI"", ""config"": {""ARQUIVOS_DADOS"": {""disciplinas"": ""C:\\Users\\kmenezes\\OneDrive - unb.br\\tcc_organizacao\\dados\\disciplinas.csv"", ""professores"": ""C:\\Users\\kmenezes\\OneDrive - unb.br\\tcc_organizacao\\dados\\docentes.csv"", ""preferencias"": ""C:\\Users\\kmenezes\\OneDrive - unb.br\\tcc_organizacao\\dados\\preferencias.csv"", ""conflitos"": ""C:\\Users\\kmenezes\\OneDrive - unb.br\\tcc_organizacao\\dados\\matriz_conflitos.csv""}, ""PENALIDADE_W"": 4.0, ""ALOCACOES_FIXAS"": []}}",[],alocacao_1763409694810.csv
1763409713304,1763409713,PLI,136.0,136,0.0,0,3.8525006771087646,,"{""algoritmo"": ""PLI"", ""config"": {""ARQUIVOS_DADOS"": {""disciplinas"": ""C:\\Users\\kmenezes\\OneDrive - unb.br\\tcc_organizacao\\dados\\disciplinas.csv"", ""professores"": ""C:\\Users\\kmenezes\\OneDrive - unb.br\\tcc_organizacao\\dados\\docentes.csv"", ""preferencias"": ""C:\\Users\\kmenezes\\OneDrive - unb.br\\tcc_organizacao\\dados\\preferencias.csv"", ""conflitos"": ""C:\\Users\\kmenezes\\OneDrive - unb.br\\tcc_organizacao\\dados\\matriz_conflitos.csv""}, ""ALOCACOES_FIXAS"": [], ""PENALIDADE_W"": 4.0}}",[],alocacao_1763409713304.csv
1763409880897,1763409880,ACO,136,,,,88.3747489452362,,"{""algoritmo"": ""ACO"", ""config"": {""ARQUIVOS_DADOS"": {""disciplinas"": ""C:\\Users\\kmenezes\\OneDrive - unb.br\\tcc_organizacao\\dados\\disciplinas.csv"", ""professores"": ""C:\\Users\\kmenezes\\OneDrive - unb.br\\tcc_organizacao\\dados\\docentes.csv"", ""preferencias"": ""C:\\Users\\kmenezes\\OneDrive - unb.br\\tcc_organizacao\\dados\\preferencias.csv"", ""conflitos"": ""C:\\Users\\kmenezes\\OneDrive - unb.br\\tcc_organizacao\\dados\\matriz_conflitos.csv""}, ""ACO_PARAMS"": {""n_formigas"": 20, ""n_geracoes"": 150, ""alfa"": 0.7, ""beta"": 2.0, ""taxa_evaporacao"": 0.2}, ""ALOCACOES_FIXAS"": []}}","[{""geracao"": 1, ""melhor_geracao"": 128, ""melhor_global"": 128, ""media_geracao"": 120.1}, {""geracao"": 2, ""melhor_geracao"": 127, ""melhor_global"": 128, ""media_geracao"": 119.0}, {""geracao"": 3, ""melhor_geracao"": 127, ""melhor_global"": 128, ""media_geracao"": 120.35}, {""geracao"": 4, ""melhor_geracao"": 129, ""melhor_global"": 129, ""media_geracao"": 121.25}, {""geracao"": 5, ""melhor_geracao"": 130, ""melhor_global"": 130, ""media_geracao"": 124.4}, {""geracao"": 6, ""melhor_geracao"": 130, ""melhor_global"": 130, ""media_geracao"": 123.75}, {""geracao"": 7, ""melhor_geracao"": 130, ""melhor_global"": 130, ""media_geracao"": 123.95}, {""geracao"": 8, ""melhor_geracao"": 131, ""melhor_global"": 131, ""media_geracao"": 125.45}, {""geracao"": 9, ""melhor_geracao"": 135, ""melhor_global"": 135, ""media_geracao"": 127.2}, {""geracao"": 10, ""melhor_geracao"": 133, ""melhor_global"": 135, ""media_geracao"": 125.65}, {""geracao"": 11, ""melhor_geracao"": 133, ""melhor_global"": 135, ""media_geracao"": 128.45}, {""geracao"": 12, ""melhor_geracao"": 134, ""melhor_global"": 135, ""media_geracao"": 128.1}, {""geracao"": 13, ""melhor_geracao"": 133, ""melhor_global"": 135, ""media_geracao"": 128.35}, {""geracao"": 14, ""melhor_geracao"": 133, ""melhor_global"": 135, ""media_geracao"": 127.95}, {""geracao"": 15, ""melhor_geracao"": 134, ""melhor_global"": 135, ""media_geracao"": 129.25}, {""geracao"": 16, ""melhor_geracao"": 134, ""melhor_global"": 135, ""media_geracao"": 130.9}, {""geracao"": 17, ""melhor_geracao"": 135, ""melhor_global"": 135, ""media_geracao"": 130.65}, {""geracao"": 18, ""melhor_geracao"": 135, ""melhor_global"": 135, ""media_geracao"": 131.35}, {""geracao"": 19, ""melhor_geracao"": 135, ""melhor_global"": 135, ""media_geracao"": 131.95}, {""geracao"": 20, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 132.8}, {""geracao"": 21, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 133.1}, {""geracao"": 22, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 133.25}, {""geracao"": 23, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 133.35}, {""geracao"": 24, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 134.0}, {""geracao"": 25, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 134.05}, {""geracao"": 26, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 134.65}, {""geracao"": 27, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 133.6}, {""geracao"": 28, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 134.25}, {""geracao"": 29, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.3}, {""geracao"": 30, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 134.45}, {""geracao"": 31, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 134.25}, {""geracao"": 32, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.1}, {""geracao"": 33, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.25}, {""geracao"": 34, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.35}, {""geracao"": 35, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 134.65}, {""geracao"": 36, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.25}, {""geracao"": 37, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.55}, {""geracao"": 38, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.4}, {""geracao"": 39, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.45}, {""geracao"": 40, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.1}, {""geracao"": 41, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.1}, {""geracao"": 42, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.25}, {""geracao"": 43, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.6}, {""geracao"": 44, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.55}, {""geracao"": 45, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.7}, {""geracao"": 46, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.7}, {""geracao"": 47, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.85}, {""geracao"": 48, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.65}, {""geracao"": 49, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.45}, {""geracao"": 50, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.75}, {""geracao"": 51, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.45}, {""geracao"": 52, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.55}, {""geracao"": 53, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.4}, {""geracao"": 54, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 55, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.85}, {""geracao"": 56, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.85}, {""geracao"": 57, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.8}, {""geracao"": 58, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.6}, {""geracao"": 59, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.55}, {""geracao"": 60, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.8}, {""geracao"": 61, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 62, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.6}, {""geracao"": 63, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.95}, {""geracao"": 64, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.6}, {""geracao"": 65, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.7}, {""geracao"": 66, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 67, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 68, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 69, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 70, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.8}, {""geracao"": 71, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 72, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.75}, {""geracao"": 73, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 74, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.85}, {""geracao"": 75, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 76, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 77, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.95}, {""geracao"": 78, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.7}, {""geracao"": 79, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.85}, {""geracao"": 80, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.9}, {""geracao"": 81, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.55}, {""geracao"": 82, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.95}, {""geracao"": 83, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.85}, {""geracao"": 84, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.8}, {""geracao"": 85, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 86, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.9}, {""geracao"": 87, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.75}, {""geracao"": 88, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.75}, {""geracao"": 89, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 90, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 91, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.85}, {""geracao"": 92, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.6}, {""geracao"": 93, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 94, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 95, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.95}, {""geracao"": 96, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 97, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 98, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.85}, {""geracao"": 99, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.95}, {""geracao"": 100, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 101, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 102, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.8}, {""geracao"": 103, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 104, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.85}, {""geracao"": 105, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.9}, {""geracao"": 106, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 107, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.8}, {""geracao"": 108, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.9}, {""geracao"": 109, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.9}, {""geracao"": 110, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 111, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 112, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 113, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.9}, {""geracao"": 114, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.95}, {""geracao"": 115, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.85}, {""geracao"": 116, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 117, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.85}, {""geracao"": 118, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 119, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 120, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.85}, {""geracao"": 121, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 122, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 123, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.85}, {""geracao"": 124, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.9}, {""geracao"": 125, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 126, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.95}, {""geracao"": 127, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.95}, {""geracao"": 128, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 129, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 130, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 131, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.8}, {""geracao"": 132, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 135.85}, {""geracao"": 133, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 134, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 135, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 136, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 137, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 138, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 139, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 140, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 141, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 142, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 143, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 144, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 145, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 146, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 147, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 148, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 149, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}, {""geracao"": 150, ""melhor_geracao"": 136, ""melhor_global"": 136, ""media_geracao"": 136.0}]",alocacao_1763409880897.csv
1763410312447,1763410312,PLI,130.0,130,0.0,0,3.349794864654541,,"{""algoritmo"": ""PLI"", ""config"": {""ARQUIVOS_DADOS"": {""disciplinas"": ""C:\\Users\\kmenezes\\OneDrive - unb.br\\tcc_organizacao\\dados\\disciplinas.csv"", ""professores"": ""C:\\Users\\kmenezes\\OneDrive - unb.br\\tcc_organizacao\\dados\\docentes.csv"", ""preferencias"": ""C:\\Users\\kmenezes\\OneDrive - unb.br\\tcc_organizacao\\dados\\preferencias.csv"", ""conflitos"": ""C:\\Users\\kmenezes\\OneDrive - unb.br\\tcc_organizacao\\dados\\matriz_conflitos.csv""}, ""PENALIDADE_W"": 4.0, ""ALOCACOES_FIXAS"": [{""professor"": ""docente_13"", ""disciplina"": ""EST0005_01""}, {""professor"": ""docente_25"", ""disciplina"": ""EST0023_01""}]}}",[],alocacao_1763410312447.csv
