codigo_disciplina,disciplina,codigo_turma,ano_periodo,docente,carga_horaria,horario,horario_extenso,vagas_ofertadas,vagas_ocupadas,local
EST0001,COMPUTAÇÃO EM ESTATÍSTICA 1,01,2025.2,THAIS CARVALHO VALADARES RODRIGUES,30,6M34,Sexta-feira 10:00 às 11:50,,37,14
EST0001,COMPUTAÇÃO EM ESTATÍSTICA 1,02,2025.2,THAIS CARVALHO VALADARES RODRIGUES,30,3T45,Terça-feira 16:00 às 17:50,,35,31
EST0004,ESTATÍSTICA COMPUTACIONAL,01,2025.2,GUILHERME SOUZA RODRIGUES,60,35T45,Terça-feira 16:00 às 17:50Quinta-feira 16:00 às 17:50,,40,14
EST0005,INFERÊNCIA BAYESIANA,01,2025.2,GUSTAVO LEONEL GILARDONI AVALLE,60,35M34,Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50,,50,27
EST0011,MODELOS LINEARES GENERALIZADOS,01,2025.2,TEREZINHA KESSIA DE ASSIS RIBEIRO,60,24M34,Segunda-feira 10:00 às 11:50Quarta-feira 10:00 às 11:50,,50,6
EST0014,TEORIA DA RESPOSTA AO ÍTEM,01,2025.2,ANTONIO EDUARDO GOMES,60,24M12,Segunda-feira 08:00 às 09:50Quarta-feira 08:00 às 09:50,,40,28
EST0017,MÉTODOS ESTATÍSTICOS 2,01,2025.2,LUIS GUSTAVO DO AMARAL VINHA,60,24T23,Segunda-feira 14:00 às 15:50Quarta-feira 14:00 às 15:50,,50,37
EST0019,ESTATÍSTICA APLICADA,01,2025.2,ERITON BARROS DOS SANTOS,90,246M12,Segunda-feira 08:00 às 09:50Quarta-feira 08:00 às 09:50Sexta-feira 08:00 às 09:50,,60,3
EST0019,ESTATÍSTICA APLICADA,02,2025.2,JOSE ANGELO BELLONI,90,246M12,Segunda-feira 08:00 às 09:50Quarta-feira 08:00 às 09:50Sexta-feira 08:00 às 09:50,,50,13
EST0019,ESTATÍSTICA APLICADA,03,2025.2,ANA MARIA NOGALES VASCONCELOS,90,246M12,Segunda-feira 08:00 às 09:50Quarta-feira 08:00 às 09:50Sexta-feira 08:00 às 09:50,,50,25
EST0019,ESTATÍSTICA APLICADA,04,2025.2,JOSE ANGELO BELLONI,90,246M34,Segunda-feira 10:00 às 11:50Quarta-feira 10:00 às 11:50Sexta-feira 10:00 às 11:50,,77,53
EST0019,ESTATÍSTICA APLICADA,05,2025.2,MARIA TERESA LEAO COSTA,90,246M34,Segunda-feira 10:00 às 11:50Quarta-feira 10:00 às 11:50Sexta-feira 10:00 às 11:50,,70,15
EST0019,ESTATÍSTICA APLICADA,06,2025.2,ERITON BARROS DOS SANTOS,90,246T45,Segunda-feira 16:00 às 17:50Quarta-feira 16:00 às 17:50Sexta-feira 16:00 às 17:50,,65,54
EST0019,ESTATÍSTICA APLICADA,07,2025.2,LEANDRO TAVARES CORREIA,90,246N12 (18/08/2025 - 15/12/2025),Segunda-feira 19:00 às 20:40Quarta-feira 19:00 às 20:40Sexta-feira 19:00 às 20:40,,41,36
EST0019,ESTATÍSTICA APLICADA,08,2025.2,LEANDRO TAVARES CORREIA,90,246N34 (18/08/2025 - 15/12/2025),Segunda-feira 20:50 às 22:30Quarta-feira 20:50 às 22:30Sexta-feira 20:50 às 22:30,,80,28
EST0023,PROBABILIDADE E ESTATÍSTICA,01,2025.2,ROBERTO VILA GABRIEL,60,24M12,Segunda-feira 08:00 às 09:50Quarta-feira 08:00 às 09:50,,75,42
EST0023,PROBABILIDADE E ESTATÍSTICA,02,2025.2,FREDERICO MACHADO ALMEIDA,60,24M12,Segunda-feira 08:00 às 09:50Quarta-feira 08:00 às 09:50,,75,12
EST0023,PROBABILIDADE E ESTATÍSTICA,03,2025.2,JAMES MATOS SAMPAIO,60,46M12,Quarta-feira 08:00 às 09:50Sexta-feira 08:00 às 09:50,,75,35
EST0023,PROBABILIDADE E ESTATÍSTICA,04,2025.2,ROBERTO VILA GABRIEL,60,24M34,Segunda-feira 10:00 às 11:50Quarta-feira 10:00 às 11:50,,75,43
EST0023,PROBABILIDADE E ESTATÍSTICA,05,2025.2,ANDRE LUIZ FERNANDES CANCADO,60,46M34,Quarta-feira 10:00 às 11:50Sexta-feira 10:00 às 11:50,,75,39
EST0023,PROBABILIDADE E ESTATÍSTICA,06,2025.2,FELIPE SOUSA QUINTINO,60,24T23,Segunda-feira 14:00 às 15:50Quarta-feira 14:00 às 15:50,,70,30
EST0023,PROBABILIDADE E ESTATÍSTICA,07,2025.2,EDUARDO YOSHIO NAKANO,60,24T23,Segunda-feira 14:00 às 15:50Quarta-feira 14:00 às 15:50,,75,33
EST0023,PROBABILIDADE E ESTATÍSTICA,08,2025.2,GUSTAVO LEONEL GILARDONI AVALLE,60,46T23,Quarta-feira 14:00 às 15:50Sexta-feira 14:00 às 15:50,,75,12
EST0023,PROBABILIDADE E ESTATÍSTICA,09,2025.2,FELIPE SOUSA QUINTINO,60,24T45,Segunda-feira 16:00 às 17:50Quarta-feira 16:00 às 17:50,,75,29
EST0023,PROBABILIDADE E ESTATÍSTICA,10,2025.2,JOSE AUGUSTO FIORUCCI,60,24N12,Segunda-feira 19:00 às 20:40Quarta-feira 19:00 às 20:40,,75,39
EST0023,PROBABILIDADE E ESTATÍSTICA,11,2025.2,PETER ZORNIG,60,24N12,Segunda-feira 19:00 às 20:40Quarta-feira 19:00 às 20:40,,75,12
EST0027,BIOESTATÍSTICA,01,2025.2,JULIANA BETINI FACHINI GOMES,60,35M12,Terça-feira 08:00 às 09:50Quinta-feira 08:00 às 09:50,,85,37
EST0027,BIOESTATÍSTICA,02,2025.2,RAUL YUKIHIRO MATSUSHITA,60,35M34,Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50,,70,51
EST0027,BIOESTATÍSTICA,03,2025.2,LUIS GUSTAVO DO AMARAL VINHA,60,24T45,Segunda-feira 16:00 às 17:50Quarta-feira 16:00 às 17:50,,50,40
EST0033,ESTATÍSTICA EXPLORATÓRIA,01,2025.2,DONALD MATTHEW PIANTO,60,24M12 (18/08/2025 - 15/12/2025),Segunda-feira 08:00 às 09:50Quarta-feira 08:00 às 09:50,,50,4
EST0033,ESTATÍSTICA EXPLORATÓRIA,02,2025.2,MARIA TERESA LEAO COSTA,60,24M12 (18/08/2025 - 15/12/2025),Segunda-feira 08:00 às 09:50Quarta-feira 08:00 às 09:50,,40,37
EST0035,INFERENCIA ESTATISTICA,01,2025.2,ANTONIO EDUARDO GOMES,90,356M34,Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50Sexta-feira 10:00 às 11:50,,50,37
EST0036,TECNICAS DE AMOSTRAGEM,01,2025.2,ALAN RICARDO DA SILVA,90,356M12,Terça-feira 08:00 às 09:50Quinta-feira 08:00 às 09:50Sexta-feira 08:00 às 09:50,,50,29
EST0038,ANÁLISE DE REGRESSÃO LINEAR,01,2025.2,TEREZINHA KESSIA DE ASSIS RIBEIRO,90,246M12,Segunda-feira 08:00 às 09:50Quarta-feira 08:00 às 09:50Sexta-feira 08:00 às 09:50,,40,27
EST0040,ANÁLISE MULTIVARIADA 1,01,2025.2,GLADSTON LUIZ DA SILVA,60,35M12,Terça-feira 08:00 às 09:50Quinta-feira 08:00 às 09:50,,40,40
EST0042,DELINEAMENTO E ANÁLISE DE EXPERIMENTOS,01,2025.2,JULIANA BETINI FACHINI GOMES,90,356M34,Terça-feira 10:00 às 11:50Quinta-feira 10:00 às 11:50Sexta-feira 10:00 às 11:50,,40,31
EST0045,CONTROLE ESTATISTICO DE QUALIDADE,01,2025.2,HELTON SAULO BEZERRA DOS SANTOS,60,3T2345,Terça-feira 14:00 às 17:50,,40,24
EST0048,PROCESSOS ESTOCASTICOS,01,2025.2,LUCAS MOREIRA,60,24M12,Segunda-feira 08:00 às 09:50Quarta-feira 08:00 às 09:50,,50,9
EST0054,PESQUISA OPERACIONAL 1,01,2025.2,PETER ZORNIG,60,24T45,Segunda-feira 16:00 às 17:50Quarta-feira 16:00 às 17:50,,50,10
EST0069,INTRODUCAO A PROBABILIDADE,01,2025.2,LUCAS MOREIRA,60,24M34 (18/08/2025 - 15/12/2025),Segunda-feira 10:00 às 11:50Quarta-feira 10:00 às 11:50,,50,6
EST0069,INTRODUCAO A PROBABILIDADE,03,2025.2,CIRA ETHEOWALDA GUEVARA OTINIANO,60,24M34,Segunda-feira 10:00 às 11:50Quarta-feira 10:00 às 11:50,,40,36
EST0070,METODOS ESTATISTICOS 1,01,2025.2,EDUARDO MONTEIRO DE CASTRO GOMES,60,24M34 (18/08/2025 - 15/12/2025),Segunda-feira 10:00 às 11:50Quarta-feira 10:00 às 11:50,,63,50
EST0077,TÓPICOS EM ESTATÍSTICA 2,01,2025.2,GUILHERME SOUZA RODRIGUES,60,24T23 (18/08/2025 - 15/12/2025),Segunda-feira 14:00 às 15:50Quarta-feira 14:00 às 15:50,,40,12
