id_disciplina,id_docente,preferencia
EST0001_01,docente_29,3.0
EST0001_02,docente_29,3.0
EST0004_01,docente_13,1.0
EST0005_01,docente_14,1.0
EST0011_01,docente_28,3.0
EST0014_01,docente_04,3.0
EST0017_01,docente_23,3.0
EST0019_01,docente_09,3.0
EST0019_02,docente_18,1.0
EST0019_03,docente_02,0.0
EST0019_04,docente_18,1.0
EST0019_05,docente_24,0.0
EST0019_06,docente_09,3.0
EST0019_07,docente_21,0.0
EST0019_08,docente_21,0.0
EST0023_01,docente_27,0.0
EST0023_02,docente_11,0.0
EST0023_03,docente_16,0.0
EST0023_04,docente_27,0.0
EST0023_05,docente_03,0.0
EST0023_06,docente_10,0.0
EST0023_07,docente_08,0.0
EST0023_08,docente_14,1.0
EST0023_09,docente_10,0.0
EST0023_10,docente_19,0.0
EST0023_11,docente_25,0.0
EST0027_01,docente_20,0.0
EST0027_02,docente_26,0.0
EST0027_03,docente_23,0.0
EST0033_01,docente_06,3.0
EST0033_02,docente_24,3.0
EST0035_01,docente_04,3.0
EST0036_01,docente_01,3.0
EST0038_01,docente_28,3.0
EST0040_01,docente_12,1.0
EST0042_01,docente_20,3.0
EST0045_01,docente_15,0.0
EST0048_01,docente_22,3.0
EST0054_01,docente_25,3.0
EST0069_01,docente_22,3.0
EST0069_03,docente_05,3.0
EST0070_01,docente_07,3.0
EST0077_01,docente_13,1.0
EST0077_02,docente_29,3.0
EST0081_01,docente_21,3.0
EST0087_01,docente_02,2.0
EST0088_01,docente_16,0.0
EST0091_01,docente_06,1.0
EST0092_01,docente_07,2.0
EST0124_01,docente_17,1.0
